Breakout environment created!
adjust env with 4 consec images stacked can be created
DQN agent created
Starts training on cuda:0
buffer size = 1, epsilon = 1.00000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
Breakout environment created!
adjust env with 4 consec images stacked can be created
DQN agent created
Starts training on cuda:0
buffer size = 1, epsilon = 1.00000
checkpointing ...
buffer size = 5001, epsilon = 0.99550
buffer size = 10000, epsilon = 0.99100
buffer size = 10000, epsilon = 0.98650
buffer size = 10000, epsilon = 0.98200
buffer size = 10000, epsilon = 0.97750
buffer size = 10000, epsilon = 0.97300
buffer size = 10000, epsilon = 0.96850
buffer size = 10000, epsilon = 0.96400
buffer size = 10000, epsilon = 0.95950
buffer size = 10000, epsilon = 0.95500
checkpointing ...
buffer size = 10000, epsilon = 0.95050
buffer size = 10000, epsilon = 0.94600
buffer size = 10000, epsilon = 0.94150
buffer size = 10000, epsilon = 0.93700
buffer size = 10000, epsilon = 0.93250
buffer size = 10000, epsilon = 0.92800
buffer size = 10000, epsilon = 0.92350
buffer size = 10000, epsilon = 0.91900
buffer size = 10000, epsilon = 0.91450
buffer size = 10000, epsilon = 0.91000
checkpointing ...
buffer size = 10000, epsilon = 0.90550
buffer size = 10000, epsilon = 0.90100
buffer size = 10000, epsilon = 0.89650
buffer size = 10000, epsilon = 0.89200
buffer size = 10000, epsilon = 0.88750
buffer size = 10000, epsilon = 0.88300
buffer size = 10000, epsilon = 0.87850
buffer size = 10000, epsilon = 0.87400
buffer size = 10000, epsilon = 0.86950
buffer size = 10000, epsilon = 0.86500
checkpointing ...
buffer size = 10000, epsilon = 0.86050
buffer size = 10000, epsilon = 0.85600
buffer size = 10000, epsilon = 0.85150
buffer size = 10000, epsilon = 0.84700
buffer size = 10000, epsilon = 0.84250
buffer size = 10000, epsilon = 0.83800
buffer size = 10000, epsilon = 0.83350
buffer size = 10000, epsilon = 0.82900
buffer size = 10000, epsilon = 0.82450
buffer size = 10000, epsilon = 0.82000
checkpointing ...
buffer size = 10000, epsilon = 0.81550
buffer size = 10000, epsilon = 0.81100
buffer size = 10000, epsilon = 0.80650
buffer size = 10000, epsilon = 0.80200
buffer size = 10000, epsilon = 0.79750
buffer size = 10000, epsilon = 0.79300
buffer size = 10000, epsilon = 0.78850
buffer size = 10000, epsilon = 0.78400
buffer size = 10000, epsilon = 0.77950
buffer size = 10000, epsilon = 0.77500
checkpointing ...
buffer size = 10000, epsilon = 0.77050
buffer size = 10000, epsilon = 0.76600
buffer size = 10000, epsilon = 0.76150
buffer size = 10000, epsilon = 0.75700
buffer size = 10000, epsilon = 0.75250
buffer size = 10000, epsilon = 0.74800
buffer size = 10000, epsilon = 0.74350
buffer size = 10000, epsilon = 0.73900
buffer size = 10000, epsilon = 0.73450
buffer size = 10000, epsilon = 0.73000
